X,Y,Z,channels
0.076138893,-0.010832425,0.045851881,C6h
0.083608168,-0.016163264,0.011755961,T8h
0.084828516,-0.0225304,-0.021405363,T10h
-0.084421261,-0.049796885,-0.018030669,TP9h
-0.081274968,-0.045145577,0.014753236,TP7h
-0.074496069,-0.043206423,0.050797551,CP5h
-0.051616948,-0.040930504,0.077966316,CP3h
-0.018192744,-0.039760042,0.092595514,CP1h
0.01882991,-0.039891209,0.0925324,CP2h
0.051606069,-0.041511197,0.077306847,CP4h
0.074004417,-0.043870701,0.049677956,CP6h
0.080427879,-0.04590493,0.014671251,TP8h
0.081771842,-0.050756683,-0.017309069,TP10h
-0.071081287,-0.074903638,-0.01171171,P9h
-0.071119702,-0.073588245,0.01954861,P7h
-0.062907517,-0.073795778,0.047475641,P5h
-0.043113862,-0.074137497,0.069815097,P3h
-0.015182744,-0.073358314,0.080786214,P1h
0.01528491,-0.073182182,0.080717643,P2h
0.04227375,-0.073628741,0.068769916,P4h
0.061249318,-0.074010265,0.046962965,P6h
0.069263596,-0.073535598,0.019064872,P8h
0.069416188,-0.076073526,-0.011191668,P10h
-0.054132243,-0.097341979,-0.005438081,PO9h
-0.05277603,-0.096217726,0.020546527,PO7h
-0.044522977,-0.096709495,0.037135006,PO5h
-0.029450672,-0.097168082,0.04894585,PO3h
-0.011000081,-0.096982933,0.055030117,PO1h
0.008539161,-0.097191618,0.054700013,PO2h
0.026799284,-0.097321837,0.048503135,PO4h
0.041950792,-0.096825509,0.036588528,PO6h
0.050309155,-0.096404926,0.020415012,PO8h
0.051813623,-0.097827077,-0.00521579,PO10h
-0.016056086,-0.111984311,0.02129597,O1h
0.013285916,-0.111905731,0.021179778,O2h
-0.015725875,-0.115189212,-0.01208943,I1h
0.013094641,-0.115444503,-0.011860244,I2h
-0.034718018,0.06333165,-0.04361567,AFp9
-0.042259629,0.072778971,-0.013365399,AFp7
-0.032774472,0.077823174,-0.006109638,AFp5
-0.021931256,0.081370927,0.000557402,AFp3
-0.011533442,0.082921996,0.007250364,AFp1
0.000847218,0.083512441,0.009929076,AFpz
0.014223364,0.082779807,0.008123293,AFp2
0.024951434,0.080941081,0.001642124,AFp4
0.034687223,0.077166008,-0.005889731,AFp6
0.04392807,0.072067924,-0.013140418,AFp8
0.038446222,0.063436206,-0.04357741,AFp10
-0.058945742,0.045962668,-0.044494384,AFF9
-0.062354151,0.051538259,-0.012994607,AFF7
-0.05505136,0.05867681,0.006882324,AFF5
-0.042648522,0.064903486,0.02557109,AFF3
-0.023074571,0.069380396,0.038644793,AFF1
0.000585549,0.071728369,0.043757928,AFFz
0.025505922,0.068897927,0.038830035,AFF2
0.044720666,0.063988735,0.025257828,AFF4
0.057060658,0.057142103,0.006545129,AFF6
0.063516198,0.049894841,-0.013227499,AFF8
0.061470371,0.044197535,-0.043975719,AFF10
-0.075351,0.02064979,-0.043855136,FFT9
-0.074710532,0.024298415,-0.011566801,FFT7
-0.069803159,0.032000898,0.016587299,FFC5
-0.054812606,0.038937075,0.0424605,FFC3
-0.030163525,0.044035502,0.061599419,FFC1
0.000201129,0.046069025,0.069108196,FFCz
0.031921353,0.044051554,0.061706611,FFC2
0.056488568,0.038953849,0.042319193,FFC4
0.07130042,0.030904345,0.015715272,FFC6
0.075232978,0.022816774,-0.012063239,FFT8
0.075512759,0.01802977,-0.043175491,FFT10
-0.079095437,-0.007975271,-0.040815841,FTT9
-0.080872044,-0.003841733,-0.008294828,FTT7
-0.078325072,0.002600585,0.024597589,FCC5
-0.063111172,0.008399346,0.054911421,FCC3
-0.03532203,0.012368873,0.076595246,FCC1
-0.000227302,0.01374186,0.085057102,FCCz
0.03494493,0.012225258,0.076812596,FCC2
0.063709182,0.008004054,0.055567675,FCC4
0.079033538,0.001922294,0.025246081,FCC6
0.081370466,-0.004424559,-0.007501907,FTT8
0.079560508,-0.009527718,-0.03972082,FTT10
-0.082817207,-0.035649443,-0.036871428,TTP9
-0.084991082,-0.032525063,-0.004299182,TTP7
-0.081996427,-0.028457306,0.031413141,CCP5
-0.066815321,-0.024690245,0.064381918,CCP3
-0.037006599,-0.0221355,0.085546089,CCP1
-0.000677985,-0.02140058,0.095489285,CCPz
0.036713878,-0.022642314,0.085717965,CCP2
0.066836533,-0.025398176,0.064205444,CCP4
0.081921092,-0.02922802,0.031559031,CCP6
0.084979189,-0.033589474,-0.003021958,TTP8
0.083674543,-0.038031326,-0.035941202,TTP10
-0.074733424,-0.0612593,-0.031462728,TPP9
-0.077907963,-0.059603877,0.001244945,TPP7
-0.07487329,-0.059562031,0.034741682,CPP5
-0.060575788,-0.058834532,0.064445674,CPP3
-0.033442305,-0.057809747,0.083987052,CPP1
-0.001057392,-0.057479716,0.090164975,CPPz
0.033524681,-0.058051116,0.08350762,CPP2
0.059751113,-0.059112995,0.063292825,CPP4
0.073862861,-0.05985214,0.033887983,CPP6
0.076470716,-0.060554833,0.001824604,TPP8
0.073858811,-0.063076769,-0.030703117,TPP10
-0.06167901,-0.085527522,-0.024916389,PPO9
-0.065195386,-0.085415125,0.008200091,PPO7
-0.059735435,-0.085931643,0.031804001,PPO5
-0.047444401,-0.086392312,0.052555651,PPO3
-0.025975972,-0.086375378,0.065796241,PPO1
-0.001316512,-0.086401671,0.070471363,PPOz
0.024361418,-0.086116728,0.06605815,PPO2
0.044888047,-0.086324066,0.052178309,PPO4
0.058028935,-0.085739509,0.031509968,PPO6
0.062778876,-0.085745483,0.008557351,PPO8
0.060280434,-0.087016452,-0.024266235,PPO10
-0.041719935,-0.104554877,-0.018349382,POO9
-0.043578847,-0.103952244,0.014805207,POO7
-0.037143843,-0.104415076,0.026003473,POO5
-0.027247181,-0.105052667,0.034499764,POO3
-0.01504686,-0.104992185,0.040094665,POO1
-0.00142036,-0.105727222,0.040680272,POOz
0.011952935,-0.105689629,0.03888349,POO2
0.024619672,-0.104938452,0.034058791,POO4
0.035134506,-0.10412424,0.025852817,POO6
0.041030689,-0.104022266,0.014821633,POO8
0.039388092,-0.105118359,-0.017879072,POO10
-0.029807101,-0.111789638,0.001082398,OI1
-0.001405201,-0.116196531,0.006799652,OIz
0.027342261,-0.111816401,0.001628854,OI2
-0.083397543,-0.018061331,-0.006015054,T3
-0.072514557,-0.072969907,0.004590192,T5
0.083919011,-0.0188522,-0.005220331,T4
0.070475639,-0.073555281,0.005114627,T6
-0.07204093,-0.046761642,-0.050113032,M1
0.072788225,-0.048816194,-0.049682576,M2
-0.075435436,-0.030729201,-0.052208061,A1
0.076131591,-0.032428526,-0.051629876,A2
-0.026916091,-0.112772092,-0.006398306,'CB1'
0.018961461,-0.114349576,-0.006755355,'CB2'
