X,Y,Z,channels
-0.039668131,0.054661132,0.050958162,F3h
-0.013416864,0.058567066,0.064066678,F1h
0.015988519,0.058366151,0.064273717,F2h
0.04176742,0.054688032,0.050253622,F4h
0.059668473,0.049045045,0.027483805,F6h
0.069621926,0.041214834,0.000494517,F8h
0.072489833,0.036274745,-0.031416556,F10h
-0.079923581,0.008925115,-0.031327923,FT9h
-0.07818304,0.013855205,0.005776277,FT7h
-0.069801476,0.019545073,0.039506049,FC5h
-0.048053099,0.024325198,0.067381563,FC3h
-0.017350176,0.026845802,0.084209825,FC1h
0.017672316,0.026707218,0.083988524,FC2h
0.048836965,0.024235865,0.067911589,FC4h
0.070939641,0.01887205,0.039709842,FC6h
0.078728303,0.012962677,0.005770263,FT8h
0.080129974,0.007233036,-0.030389302,FT10h
-0.084982873,-0.020222894,-0.027884462,T9h
-0.083896997,-0.016282521,0.011647229,T7h
-0.076261289,-0.012602474,0.04957039,C5h
-0.052245396,-0.00984616,0.079108669,C3h
-0.018791319,-0.008392209,0.09619779,C1h
0.018652378,-0.008648752,0.095808202,C2h
0.052807266,-0.010479979,0.078922943,C4h
0.076907973,-0.013516175,0.049185487,C6h
0.084452695,-0.01724739,0.011883241,T8h
0.08568537,-0.022093733,-0.026790373,T10h
-0.085274001,-0.050340868,-0.024400949,TP9h
-0.082095927,-0.047241666,0.013561943,TP7h
-0.075248555,-0.047102906,0.05279494,CP5h
-0.052138332,-0.04615996,0.082411457,CP3h
-0.018376509,-0.045708875,0.098355672,CP1h
0.019020111,-0.045840669,0.098280031,CP2h
0.052127342,-0.046723843,0.081664019,CP4h
0.074751936,-0.047729132,0.051543476,CP6h
0.081240282,-0.048019259,0.01343168,TP8h
0.08259782,-0.051366255,-0.023600144,TP10h
-0.07179928,-0.076516123,-0.018382466,P9h
-0.071838083,-0.076773005,0.017221883,P7h
-0.063542946,-0.078426071,0.047526572,P5h
-0.043549356,-0.079929301,0.071758421,P3h
-0.015336105,-0.079692529,0.083710373,P1h
0.015439303,-0.079507652,0.083645507,P2h
0.042700758,-0.079351623,0.07065148,P4h
0.061867998,-0.078620479,0.046958385,P6h
0.069963228,-0.076693868,0.016699626,P8h
0.070117361,-0.077747427,-0.017833803,P10h
-0.054679034,-0.099941681,-0.012259059,PO9h
-0.053309121,-0.100123442,0.017075425,PO7h
-0.044972704,-0.101484751,0.035056193,PO5h
-0.029748153,-0.10256565,0.04785244,PO3h
-0.011111193,-0.102688614,0.054467229,PO1h
0.008625416,-0.102886459,0.054097547,PO2h
0.027069984,-0.102701136,0.047363499,PO4h
0.042374537,-0.101576031,0.034456663,PO6h
0.050817328,-0.100309403,0.016922488,PO8h
0.052336993,-0.100452588,-0.012023643,PO10h
-0.016218268,-0.11639513,0.017032184,O1h
0.013420117,-0.116308235,0.016910323,O2h
-0.015884722,-0.117974129,-0.021229255,I1h
0.01322691,-0.118248786,-0.020971964,I2h
-0.035068706,0.0674534,-0.04808649,AFp9
-0.042686494,0.075621098,-0.011558841,AFp7
-0.033105527,0.08044057,-0.002632052,AFp5
-0.022152784,0.08374966,0.005026968,AFp3
-0.011649941,0.085001657,0.012376748,AFp1
0.000855776,0.085471508,0.015316689,AFpz
0.014367034,0.08481027,0.013316623,AFp2
0.025203469,0.083251189,0.006181121,AFp4
0.035037599,0.079752627,-0.002409711,AFp6
0.044371788,0.074877418,-0.011333676,AFp8
0.038834567,0.067559078,-0.048034778,AFp10
-0.059541154,0.049615825,-0.05016498,AFF9
-0.062983991,0.053732842,-0.012382197,AFF7
-0.055607434,0.060058116,0.010659686,AFF5
-0.043079315,0.065505775,0.031285499,AFF3
-0.023307647,0.069441306,0.04572084,AFF1
0.000591463,0.07159521,0.051398956,AFFz
0.025763557,0.068935015,0.045895709,AFF2
0.04517239,0.064580105,0.030895731,AFF4
0.057637028,0.058495382,0.010210247,AFF6
0.064157776,0.052052804,-0.012756901,AFF8
0.062091284,0.047771735,-0.049653381,AFF10
-0.076112121,0.023521085,-0.050911526,FFT9
-0.075465184,0.025613481,-0.012305894,FFT7
-0.070508241,0.032092757,0.019745214,FFC5
-0.055366269,0.037900615,0.048208589,FFC3
-0.030468207,0.042163443,0.069261751,FFC1
0.00020316,0.043870119,0.077523351,FFCz
0.032243791,0.042174445,0.069378985,FFC2
0.05705916,0.037925168,0.048056107,FFC4
0.072020626,0.031008707,0.018739003,FFC6
0.075992907,0.024113591,-0.012984307,FFT8
0.076275514,0.020788519,-0.050259416,FFT10
-0.079894381,-0.006107534,-0.049001726,FTT9
-0.081688934,-0.00352787,-0.010090596,FTT7
-0.079116235,0.001409738,0.026843039,FCC5
-0.063748659,0.005817653,0.060065096,FCC3
-0.035678818,0.008787014,0.083819514,FCC1
-0.000229598,0.009764489,0.093079826,FCCz
0.035297909,0.008627947,0.084047652,FCC2
0.064352709,0.005376842,0.060756007,FCC4
0.079831857,0.000677955,0.027510145,FCC6
0.08219239,-0.004168808,-0.00918256,FTT8
0.080364149,-0.00776235,-0.047792224,FTT10
-0.083653745,-0.034803781,-0.045959212,TTP9
-0.085849578,-0.033265774,-0.007047233,TTP7
-0.082824674,-0.030918322,0.03255385,CCP5
-0.067490223,-0.028739056,0.068547555,CCP3
-0.037380403,-0.027199552,0.091660983,CCP1
-0.000684833,-0.026955373,0.102494678,CCPz
0.037084726,-0.02773022,0.09182002,CCP2
0.06751165,-0.029458837,0.068317514,CCP4
0.082748578,-0.031719357,0.032670337,CCP6
0.085837565,-0.034427506,-0.005592058,TTP8
0.08451974,-0.03730408,-0.044995005,TTP10
-0.075488307,-0.06145011,-0.041052904,TPP9
-0.078694912,-0.0614315,-0.002067341,TPP7
-0.075629585,-0.063114877,0.034476818,CPP5
-0.061187664,-0.063896832,0.066761285,CPP3
-0.033780106,-0.063848913,0.088029961,CPP1
-0.001068073,-0.063827534,0.094754292,CPPz
0.033863315,-0.064072712,0.087496402,CPP2
0.06035466,-0.064124114,0.065494686,CPP4
0.074608951,-0.063369568,0.033534327,CPP6
0.077243148,-0.062440468,-0.001434767,TPP8
0.074604859,-0.063360501,-0.040257954,TPP10
-0.06230203,-0.086773744,-0.034714175,PPO9
-0.065853925,-0.088364883,0.004259888,PPO7
-0.060338823,-0.090113255,0.029854857,PPO5
-0.047923637,-0.091657118,0.052356611,PPO3
-0.026238356,-0.092322119,0.066730749,PPO1
-0.00132981,-0.092590152,0.071804362,PPOz
0.024607493,-0.092069316,0.067029118,PPO2
0.045341462,-0.091567405,0.0519507,PPO4
0.058615085,-0.089900283,0.029546112,PPO6
0.063413006,-0.088723429,0.004629756,PPO8
0.060889328,-0.088340235,-0.034029807,PPO10
-0.042141348,-0.106702518,-0.028038949,POO9
-0.044019038,-0.107790881,0.01042267,POO7
-0.037519033,-0.108844579,0.022553707,POO5
-0.027522405,-0.109938942,0.03174214,POO3
-0.015198848,-0.110165039,0.037818927,POO1
-0.001434707,-0.110952006,0.038414684,POOz
0.012073671,-0.110820692,0.036466245,POO2
0.024868356,-0.10979862,0.031269652,POO4
0.0354894,-0.108537373,0.022405968,POO6
0.041445141,-0.107863822,0.010436695,POO8
0.039785951,-0.107306912,-0.027513323,POO10
-0.030108183,-0.115152866,-0.005366578,OI1
-0.001419395,-0.119984816,0.00106692,OIz
0.027618446,-0.115208586,-0.004718474,OI2
-0.084239942,-0.018285676,-0.00822643,T3
-0.073247027,-0.075365399,0.001017493,T5
0.084766678,-0.019140905,-0.007328634,T4
0.071187514,-0.075995122,0.001554979,T6
-0.072768617,-0.045562261,-0.062363887,M1
0.073523459,-0.047699786,-0.061974387,M2
-0.07619741,-0.0289475,-0.063900508,A1
0.076900597,-0.030726902,-0.063314228,A2
-0.027187971,-0.115778822,-0.014319062,'CB1'
0.019152991,-0.117384576,-0.014837456,'CB2'
